id,index,name,emotion,spritePosition,textBoxPosition,sentence
0,0,kim,Normal,Right,Top,Hi~Hi~Hi~Hi~Hi~Hi~Hi~Hi~Hi~Hi~
0,1,lee,Normal,Left,Bottom,HelloHelloHelloHelloHelloHelloHelloHello
0,2,kim,Laugh,Right,Top,Who are youWho are youWho are youWho are you
0,3,lee,Normal,Left,Bottom,I'm LeeI'm LeeI'm LeeI'm LeeI'm Lee
1,0,Robot,Sigh,Right,Top,I'm Robot
1,1,Robot,Sigh,Left,Bottom,ROBOTROBOTROBOTROBOTROBOT
1,2,Robot,Angry,Right,Top,AngryAngryAngryAngryAngryAngry
1,3,,Normal,None,Bottom,zzzzzzzzzzzzzzzzzzzzzzzz......
1,4,"Robot,Robot","Angry,Sigh",Both,Top,Both Sprite Test
100,0,Speaker,Normal,Right,Bottom,Welcome to SUPER SOLDIER TRAINING LAB!
100,1,Speaker,Normal,Right,Bottom,Where you become useful beans and do your solemn duty!
100,2,Speaker,Normal,Right,Bottom,Just do as I say and follow the crash course.
100,3,Speaker,Normal,Right,Bottom,This is the first tutorial course so if you are smarter than squirrels. There would be no problem!
101,0,Speaker,Normal,Right,Top,"Now, this is the first REAL obstacle of your life, not like that stupid puberty."
101,1,Speaker,Normal,Right,Top,You can use your hook to swing to the next platform!
101,2,Speaker,Normal,Right,Top,But remember both of you need to cross. So use your airgun creatively.
102,0,Speaker,Normal,Right,Bottom,"Good, If you activate the bean pipe, consider that as a checkpoint for the course."
102,1,Speaker,Normal,Right,Bottom,"If your dumb partner is dead, We will slide another one of the clones through the pipe right away."
103,0,Speaker,Normal,Right,Bottom,This is the second tutorial course. It seems you two were smarter than average beans.
